MA08PS;8030.0
SE90MY;7826.0
ZF71JJ;4754.0
AF32EP;7760.0
FU24LZ;8918.0
WT74XE;10632.0
NG80YY;7586.0
MZ32BN;8046.0
FR72PQ;6780.0
ZU95JK;7612.0
QB55EL;8884.0
PI44AZ;9146.0
ZT65ZR;7216.0
AR18MG;8018.0
UD27WE;5174.0
ZY12ZO;8494.0
BE04CP;10798.0
UD02GM;9388.0
KK46QR;6474.0
UX12WO;6084.0
JM23ED;8400
AM98MU;1578
OE80KX;7756
ZL16PT;11648
SW70MI;8182
XD60HE;7252
OI35TB;9662
OF14WB;6086
DV11WB;5416
GB68HM;5914
SC74DH;6152
ER36CS;7880
JU47WY;9330
OA17NB;10050
VS07EV;6478
UO32TC;8422
YS34QD;10280
WG50JZ;10846
KV45NJ;6836
XI40KV;4806
WZ72PY;6388
BH80DX;6628
BE34RV;4612
KA71RC;5554
JK00CF;6242
JW70KH;8452
GT47JB;7516
BJ50RN;5324
ZG75IJ;8302
SQ42RH;9310
YQ70ZU;7578
QA53BR;7632
DW37VG;5902
LH65BH;6928
SC30PX;6568
TM33FR;7740
QI97LC;9212
FF18HS;5834
EE04EE;10820
WE08AV;12124
WM80KN;8058
FH53XT;5558
BZ70ZT;7172
SF20QZ;5442
DL33OH;12182
ZF04EX;5572
UB40NN;8634
VW08GN;8194
KB50GR;9344
XM38FP;10862
RD43NM;8340
SB31UB;10370
SS55UA;4128
UO48QX;4680
UK98FZ;5922
TG06KZ;8444
VM00IH;5318
LV36VD;11984
GA03NT;8468
OF91XT;6398
KB07ET;6432
WQ90PP;6546
SR14SA;11688
NT64LA;6524
RS51CO;9628
TI04NN;5354
JB76VM;5578
PG22MN;4988
CM55NQ;6352
NX75KS;6904
QJ16CA;8476
NE08FF;5880
TL67YP;3896
WN40PZ;11642
QV06DQ;8156
HW15UT;5878
EU32WX;6558
FD21LC;6440
HT78WI;8106
TJ62PR;11002
NI07LU;8030
