MA08PS;3988.0
SE90MY;3334.0
ZF71JJ;2984.0
AF32EP;3316.0
FU24LZ;3978.0
WT74XE;4368.0
NG80YY;4228.0
MZ32BN;3520.0
FR72PQ;4214.0
ZU95JK;6736.0
QB55EL;5146.0
PI44AZ;5506.0
ZT65ZR;3420.0
AR18MG;4380.0
UD27WE;1070.0
ZY12ZO;4952.0
BE04CP;4090.0
UD02GM;5192.0
KK46QR;3116.0
UX12WO;2890.0
JM23ED;5114
AM98MU;790
OE80KX;5430
ZL16PT;7072
SW70MI;4658
XD60HE;2224
OI35TB;4752
OF14WB;5284
DV11WB;2438
GB68HM;2562
SC74DH;2914
ER36CS;3936
JU47WY;3836
OA17NB;4606
VS07EV;1644
UO32TC;5942
YS34QD;4278
WG50JZ;5202
KV45NJ;3148
XI40KV;2562
WZ72PY;58
BH80DX;4544
BE34RV;650
KA71RC;3836
JK00CF;3556
JW70KH;2852
GT47JB;3750
BJ50RN;3088
ZG75IJ;4418
SQ42RH;5300
YQ70ZU;4336
QA53BR;3380
DW37VG;2526
LH65BH;1938
SC30PX;3234
TM33FR;3486
QI97LC;3568
FF18HS;3524
EE04EE;5418
WE08AV;6856
WM80KN;4192
FH53XT;1254
BZ70ZT;2370
SF20QZ;3384
DL33OH;4864
ZF04EX;1294
UB40NN;5122
VW08GN;3804
KB50GR;4290
XM38FP;6418
RD43NM;4586
SB31UB;5906
SS55UA;1648
UO48QX;1636
UK98FZ;2110
TG06KZ;5056
VM00IH;1648
LV36VD;6014
GA03NT;4962
OF91XT;3784
KB07ET;3636
WQ90PP;3338
SR14SA;5232
NT64LA;3762
RS51CO;4322
TI04NN;2414
JB76VM;2674
PG22MN;2948
CM55NQ;3222
NX75KS;3628
QJ16CA;4032
NE08FF;2452
TL67YP;2184
WN40PZ;5962
QV06DQ;3506
HW15UT;1582
EU32WX;2420
FD21LC;3708
HT78WI;4388
TJ62PR;5216
NI07LU;4810
ZI01SU;2874
