MA08PS;5830.0
SE90MY;5366.0
ZF71JJ;3652.0
AF32EP;6728.0
FU24LZ;5646.0
WT74XE;8194.0
NG80YY;6800.0
MZ32BN;5238.0
FR72PQ;5864.0
ZU95JK;7992.0
QB55EL;7314.0
PI44AZ;7250.0
ZT65ZR;4626.0
AR18MG;6838.0
UD27WE;3632.0
ZY12ZO;8274.0
BE04CP;7694.0
UD02GM;7342.0
KK46QR;4650.0
UX12WO;4366.0
JM23ED;6020
AM98MU;1394
OE80KX;6078
ZL16PT;9660
SW70MI;5336
XD60HE;4820
OI35TB;7486
OF14WB;5194
DV11WB;4824
GB68HM;3072
SC74DH;3702
ER36CS;6438
JU47WY;6670
OA17NB;8184
VS07EV;3310
UO32TC;6602
YS34QD;5822
WG50JZ;8180
KV45NJ;4920
XI40KV;2858
WZ72PY;2160
BH80DX;5108
BE34RV;2518
KA71RC;4280
JK00CF;5192
JW70KH;5154
GT47JB;5760
BJ50RN;3946
ZG75IJ;6400
SQ42RH;7328
YQ70ZU;6192
QA53BR;5510
DW37VG;4504
LH65BH;4056
SC30PX;3364
TM33FR;5044
QI97LC;5742
FF18HS;4630
EE04EE;9036
WE08AV;9826
WM80KN;6688
FH53XT;3762
BZ70ZT;4990
SF20QZ;4266
DL33OH;8258
ZF04EX;4422
UB40NN;6484
VW08GN;6336
KB50GR;6988
XM38FP;9320
RD43NM;7500
SB31UB;7958
SS55UA;1910
UO48QX;2618
UK98FZ;5104
TG06KZ;6734
VM00IH;4372
LV36VD;8202
GA03NT;6056
OF91XT;3524
